BoS_end_time,ticker,win/loss,sum_profits
1/1/2024 5:15,ONGUSDT,-0.02,-0.02
1/1/2024 5:45,NEARUSDT,-0.0235,-0.0435
1/1/2024 5:45,LPTUSDT,-0.0212,-0.0647
1/1/2024 5:45,POWRUSDT,-0.0226,-0.0873
1/1/2024 5:45,COMBOUSDT,-0.0212,-0.1085
1/1/2024 5:45,DODOXUSDT,-0.0265,-0.135
1/1/2024 5:45,ETCUSDT,-0.0224,-0.1574
1/1/2024 5:45,RIFUSDT,-0.021,-0.1784
1/1/2024 6:00,EDUUSDT,-0.0212,-0.1996
1/1/2024 6:00,GMXUSDT,-0.021,-0.2206
1/1/2024 6:30,MDTUSDT,-0.0247,-0.2453
1/1/2024 7:15,RLCUSDT,0.0493,-0.196
1/1/2024 7:15,RIFUSDT,-0.0346,-0.2306
1/1/2024 8:15,TLMUSDT,-0.0233,-0.2539
1/1/2024 8:45,KEYUSDT,-0.0241,-0.278
1/1/2024 10:45,FTMUSDT,0.0458,-0.2322
1/1/2024 11:45,GMTUSDT,0.0458,-0.1864
1/1/2024 12:30,SLPUSDT,0.0492,-0.1372
1/1/2024 12:30,MTLUSDT,0.048,-0.0892
1/1/2024 12:30,ADAUSDT,-0.022,-0.1112
1/1/2024 12:45,AGIXUSDT,0.0402,-0.071
1/1/2024 12:45,FETUSDT,0.0258,-0.0452
1/1/2024 12:45,OCEANUSDT,0.0481,0.0029
1/1/2024 13:15,TWTUSDT,0.041,0.0439
1/1/2024 13:30,JOEUSDT,0.0482,0.0921
1/1/2024 14:45,DOGEUSDT,0.05,0.1421
1/1/2024 14:45,ARUSDT,0.005,0.1471
1/1/2024 15:00,CHZUSDT,0.0401,0.1872
1/1/2024 15:00,ALICEUSDT,0.0385,0.2257
1/1/2024 15:15,HIGHUSDT,0.0409,0.2666
1/1/2024 15:15,JOEUSDT,0.0436,0.3102
1/1/2024 15:15,SUPERUSDT,0.0486,0.3588
1/1/2024 15:30,APEUSDT,0.0452,0.404
1/1/2024 15:30,1000FLOKIUSDT,0.05,0.454
1/1/2024 15:45,ARKMUSDT,0.0466,0.5006
1/1/2024 15:45,AXSUSDT,0.0469,0.5475
1/1/2024 15:45,OCEANUSDT,0.0443,0.5918
1/1/2024 15:45,1000PEPEUSDT,0.0479,0.6397
1/1/2024 16:00,DEFIUSDT,-0.0205,0.6192
1/1/2024 16:00,ATOMUSDT,0.0491,0.6683
1/1/2024 16:00,1000LUNCUSDT,0.0499,0.7182
1/1/2024 17:15,DGBUSDT,0.0475,0.7657
1/1/2024 17:15,PHBUSDT,0.0477,0.8134
1/1/2024 17:45,FETUSDT,0.0495,0.8629
1/1/2024 17:45,HIGHUSDT,0.0399,0.9028
1/1/2024 17:45,SUPERUSDT,0.0428,0.9456
1/1/2024 18:00,HFTUSDT,0.0442,0.9898
1/1/2024 18:00,QNTUSDT,-0.0215,0.9683
1/1/2024 18:00,EDUUSDT,0.0438,1.0121
1/1/2024 18:00,GLMRUSDT,0.0397,1.0518
1/1/2024 18:00,DARUSDT,0.0398,1.0916
1/1/2024 18:00,BTCUSDT,0.0256,1.1172
1/1/2024 18:00,BONDUSDT,0.0486,1.1658
1/1/2024 18:00,SNXUSDT,0.0461,1.2119
1/1/2024 18:00,AAVEUSDT,0.0416,1.2535
1/1/2024 18:00,1000SHIBUSDT,0.0345,1.288
1/1/2024 18:00,1000FLOKIUSDT,0.0449,1.3329
1/1/2024 18:00,PEOPLEUSDT,0.0338,1.3667
1/1/2024 18:00,DOGEUSDT,0.0418,1.4085
1/1/2024 18:00,MTLUSDT,0.0453,1.4538
1/1/2024 18:00,DOTUSDT,0.0388,1.4926
1/1/2024 18:00,ARKMUSDT,0.0453,1.5379
1/1/2024 18:00,KNCUSDT,0.0475,1.5854
1/1/2024 18:00,ILVUSDT,-0.027,1.5584
1/1/2024 18:00,ETHUSDT,0.0365,1.5949
1/1/2024 18:00,LTCUSDT,0.0447,1.6396
1/1/2024 18:00,RUNEUSDT,-0.031,1.6086
1/1/2024 18:00,AXSUSDT,0.0452,1.6538
1/1/2024 18:00,CELRUSDT,0.0478,1.7016
1/1/2024 18:00,STPTUSDT,0.0465,1.7481
1/1/2024 18:00,AVAXUSDT,0.0484,1.7965
1/1/2024 18:00,GALAUSDT,0.049,1.8455
1/1/2024 18:00,LUNA2USDT,0.0442,1.8897
1/1/2024 18:00,OCEANUSDT,0.0474,1.9371
1/1/2024 18:00,ZILUSDT,0.0393,1.9764
1/1/2024 18:15,XVGUSDT,-0.022,1.9544
1/1/2024 18:15,BEAMXUSDT,0.0378,1.9922
1/1/2024 18:15,ONEUSDT,0.0479,2.0401
1/1/2024 18:15,UMAUSDT,0.0463,2.0864
1/1/2024 18:15,DEFIUSDT,-0.0228,2.0636
1/1/2024 18:15,BADGERUSDT,0.0427,2.1063
1/1/2024 18:30,APTUSDT,0.0383,2.1446
1/1/2024 19:00,OMGUSDT,0.0476,2.1922
1/1/2024 19:00,UNIUSDT,-0.0211,2.1711
1/1/2024 19:15,LEVERUSDT,-0.0216,2.1495
1/1/2024 19:30,CYBERUSDT,0.0468,2.1963
1/1/2024 19:45,DEFIUSDT,-0.021,2.1753
1/1/2024 20:00,DENTUSDT,0.0415,2.2168
1/1/2024 20:15,BNTUSDT,0.0473,2.2641
1/1/2024 20:45,BLURUSDT,0.0482,2.3123
1/1/2024 21:45,SNXUSDT,0.0485,2.3608
1/1/2024 22:00,BANDUSDT,0.0486,2.4094
1/1/2024 22:15,ALGOUSDT,0.0462,2.4556
1/1/2024 22:30,AAVEUSDT,0.0492,2.5048
1/1/2024 22:45,AGIXUSDT,0.05,2.5548
1/1/2024 22:45,FXSUSDT,0.0484,2.6032
1/1/2024 23:00,PENDLEUSDT,0.0499,2.6531
1/1/2024 23:00,SPELLUSDT,0.0488,2.7019
1/1/2024 23:15,BTCUSDT,0.044,2.7459
1/1/2024 23:15,LTCUSDT,-0.0203,2.7256
1/1/2024 23:15,AXSUSDT,0.0441,2.7697
1/1/2024 23:15,BTCDOMUSDT,0.0481,2.8178
1/1/2024 23:15,AVAXUSDT,0.0458,2.8636
1/1/2024 23:15,ADAUSDT,-0.0248,2.8388
1/1/2024 23:15,TRXUSDT,0.0479,2.8867
1/1/2024 23:30,APEUSDT,0.0491,2.9358
1/1/2024 23:30,STGUSDT,0.0498,2.9856
1/1/2024 23:30,ARKUSDT,0.0492,3.0348
1/1/2024 23:30,THETAUSDT,0.0495,3.0843
1/1/2024 23:30,COTIUSDT,-0.0212,3.0631
1/1/2024 23:30,GALAUSDT,-0.022,3.0411
1/1/2024 23:45,IDUSDT,0.0459,3.087
1/2/2024 0:00,DOGEUSDT,0.049,3.136
1/2/2024 0:00,BADGERUSDT,0.0485,3.1845
1/2/2024 0:15,1000SHIBUSDT,-0.0209,3.1636
1/2/2024 0:15,DGBUSDT,0.05,3.2136
1/2/2024 0:15,REEFUSDT,-0.0228,3.1908
1/2/2024 0:30,GLMRUSDT,0.0409,3.2317
1/2/2024 0:30,UNIUSDT,-0.0233,3.2084
1/2/2024 0:30,XEMUSDT,0.05,3.2584
1/2/2024 0:30,DOTUSDT,-0.0232,3.2352
1/2/2024 0:45,POLYXUSDT,-0.0226,3.2126
1/2/2024 0:45,STRAXUSDT,0.046,3.2586
1/2/2024 2:00,OGNUSDT,-0.0255,3.2331
1/2/2024 3:45,CFXUSDT,0.0398,3.2729
1/2/2024 4:00,DENTUSDT,-0.0235,3.2494
1/2/2024 4:00,MDTUSDT,0.0444,3.2938
1/2/2024 4:15,PEOPLEUSDT,-0.021,3.2728
1/2/2024 4:15,BELUSDT,-0.02,3.2528
1/2/2024 4:15,ARKMUSDT,-0.0203,3.2325
1/2/2024 4:15,SANDUSDT,-0.0214,3.2111
1/2/2024 4:30,BONDUSDT,0.0269,3.238
1/2/2024 4:30,LQTYUSDT,-0.0228,3.2152
1/2/2024 4:30,YFIUSDT,-0.0225,3.1927
1/2/2024 4:45,AMBUSDT,-0.0206,3.1721
1/2/2024 4:45,CHZUSDT,-0.0265,3.1456
1/2/2024 4:45,IOSTUSDT,-0.0215,3.1241
1/2/2024 4:45,CRVUSDT,-0.022,3.1021
1/2/2024 5:00,BNXUSDT,-0.0211,3.081
1/2/2024 5:15,OCEANUSDT,-0.0204,3.0606
1/2/2024 5:45,CYBERUSDT,-0.03,3.0306
1/2/2024 6:00,PENDLEUSDT,-0.0273,3.0033
1/2/2024 6:15,CFXUSDT,0.0431,3.0464
1/2/2024 6:15,HBARUSDT,0.0482,3.0946
1/2/2024 6:45,WLDUSDT,-0.0216,3.073
1/2/2024 7:30,MAVUSDT,0.0436,3.1166
1/2/2024 7:30,LINKUSDT,-0.022,3.0946
1/2/2024 8:00,XMRUSDT,-0.0233,3.0713
1/2/2024 8:15,AGIXUSDT,-0.0361,3.0352
1/2/2024 8:30,BALUSDT,-0.0215,3.0137
1/2/2024 8:45,FXSUSDT,-0.0229,2.9908
1/2/2024 9:15,APTUSDT,-0.0213,2.9695
1/2/2024 9:30,STGUSDT,-0.0377,2.9318
1/2/2024 10:15,KEYUSDT,0.0471,2.9789
1/2/2024 10:45,BATUSDT,-0.0249,2.954
1/2/2024 10:45,TUSDT,-0.0253,2.9287
1/2/2024 10:45,GASUSDT,-0.0235,2.9052
1/2/2024 11:00,HOTUSDT,-0.0353,2.8699
1/2/2024 11:30,ARPAUSDT,0.0464,2.9163
1/2/2024 13:45,IOTXUSDT,-0.0203,2.896
1/2/2024 14:15,XVGUSDT,0.0398,2.9358
1/2/2024 14:15,SNXUSDT,0.0493,2.9851
1/2/2024 14:15,UNIUSDT,0.0488,3.0339
1/2/2024 14:15,ARPAUSDT,-0.0249,3.009
1/2/2024 14:30,HFTUSDT,0.0465,3.0555
1/2/2024 14:30,IOTAUSDT,-0.0229,3.0326
1/2/2024 14:30,AMBUSDT,0.0498,3.0824
1/2/2024 14:30,KEYUSDT,-0.034,3.0484
1/2/2024 14:30,HOOKUSDT,-0.0241,3.0243
1/2/2024 14:30,KLAYUSDT,0.0447,3.069
1/2/2024 14:30,BICOUSDT,0.0474,3.1164
1/2/2024 14:30,JASMYUSDT,0.0437,3.1601
1/2/2024 18:15,HIGHUSDT,-0.0218,3.1383
1/2/2024 18:30,REEFUSDT,-0.0262,3.1121
1/2/2024 18:30,DYDXUSDT,-0.0228,3.0893
1/2/2024 18:45,MKRUSDT,0.0176,3.1069
1/2/2024 19:15,NKNUSDT,-0.0207,3.0862
1/2/2024 19:15,XTZUSDT,-0.0218,3.0644
1/2/2024 19:15,GALAUSDT,-0.0206,3.0438
1/2/2024 19:15,1000PEPEUSDT,-0.0216,3.0222
1/2/2024 19:30,GLMRUSDT,-0.025,2.9972
1/2/2024 20:00,JOEUSDT,-0.0225,2.9747
1/2/2024 20:30,HFTUSDT,-0.0209,2.9538
1/2/2024 20:30,XLMUSDT,-0.0213,2.9325
1/2/2024 20:30,CHZUSDT,-0.0217,2.9108
1/2/2024 20:30,SFPUSDT,-0.02,2.8908
1/2/2024 20:30,LITUSDT,-0.0234,2.8674
1/2/2024 20:30,UNIUSDT,-0.0215,2.8459
1/2/2024 20:30,1000FLOKIUSDT,-0.0239,2.822
1/2/2024 20:30,KEYUSDT,-0.02,2.802
1/2/2024 20:30,POWRUSDT,-0.041,2.761
1/2/2024 20:30,ALICEUSDT,-0.0224,2.7386
1/2/2024 20:30,ROSEUSDT,-0.0223,2.7163
1/2/2024 20:30,SANDUSDT,-0.0264,2.6899
1/2/2024 20:30,DYDXUSDT,-0.0244,2.6655
1/2/2024 20:30,FLOWUSDT,-0.0255,2.64
1/2/2024 20:30,1000PEPEUSDT,-0.0291,2.6109
1/2/2024 20:45,INJUSDT,-0.022,2.5889
1/2/2024 20:45,APEUSDT,-0.0274,2.5615
1/2/2024 20:45,FTMUSDT,-0.0211,2.5404
1/2/2024 20:45,SSVUSDT,-0.0215,2.5189
1/2/2024 20:45,BONDUSDT,-0.0214,2.4975
1/2/2024 20:45,OPUSDT,-0.022,2.4755
1/2/2024 20:45,1000SHIBUSDT,-0.0213,2.4542
1/2/2024 20:45,BICOUSDT,-0.0204,2.4338
1/2/2024 20:45,BADGERUSDT,-0.0215,2.4123
1/2/2024 20:45,JASMYUSDT,-0.0213,2.391
1/2/2024 20:45,LRCUSDT,-0.0204,2.3706
1/2/2024 21:00,LTCUSDT,-0.0261,2.3445
1/2/2024 22:30,ICXUSDT,0.0462,2.3907
1/2/2024 23:15,JOEUSDT,-0.0295,2.3612
1/3/2024 0:15,LQTYUSDT,-0.0213,2.3399
1/3/2024 1:45,BANDUSDT,-0.0232,2.3167
1/3/2024 3:00,CTKUSDT,0.0492,2.3659
1/3/2024 3:15,ICXUSDT,-0.02,2.3459
1/3/2024 3:30,RUNEUSDT,0.0484,2.3943
1/3/2024 4:00,IOSTUSDT,0.0457,2.44
1/3/2024 4:00,CELOUSDT,0.0472,2.4872
1/3/2024 4:00,RENUSDT,0.046,2.5332
1/3/2024 5:30,MOVRUSDT,-0.0234,2.5098
1/3/2024 5:30,TLMUSDT,-0.0396,2.4702
1/3/2024 6:00,OXTUSDT,0.0458,2.516
1/3/2024 6:15,APEUSDT,-0.02,2.496
1/3/2024 6:30,STGUSDT,-0.0263,2.4697
1/3/2024 7:00,WAXPUSDT,-0.0208,2.4489
1/3/2024 7:30,GMTUSDT,0.0466,2.4955
1/3/2024 8:00,HOOKUSDT,-0.0209,2.4746
1/3/2024 9:00,RENUSDT,-0.0223,2.4523
1/3/2024 9:15,ALICEUSDT,-0.0209,2.4314
1/3/2024 10:00,BICOUSDT,-0.0328,2.3986
1/4/2024 3:00,TRXUSDT,-0.0248,2.3738
1/4/2024 5:30,COMBOUSDT,-0.0206,2.3532
1/4/2024 6:15,GASUSDT,-0.0213,2.3319
1/4/2024 8:00,RIFUSDT,0.0486,2.3805
1/4/2024 14:45,OMGUSDT,-0.0261,2.3544
1/4/2024 14:45,ILVUSDT,0.0436,2.398
1/4/2024 16:30,AGLDUSDT,0.0483,2.4463
1/4/2024 17:00,ETHUSDT,-0.021,2.4253
1/4/2024 17:15,ATOMUSDT,-0.0203,2.405
1/4/2024 17:15,ANKRUSDT,-0.0204,2.3846
1/4/2024 17:30,API3USDT,-0.0301,2.3545
1/4/2024 17:30,ALICEUSDT,-0.0213,2.3332
1/4/2024 18:30,DASHUSDT,-0.0243,2.3089
1/4/2024 19:15,XRPUSDT,-0.0212,2.2877
1/4/2024 19:15,XMRUSDT,-0.0223,2.2654
1/4/2024 19:15,ATOMUSDT,-0.0219,2.2435
1/4/2024 19:45,BANDUSDT,-0.0209,2.2226
1/4/2024 20:15,MAGICUSDT,-0.0204,2.2022
1/4/2024 20:30,XRPUSDT,-0.0252,2.177
1/4/2024 20:30,ICXUSDT,-0.022,2.155
1/4/2024 20:30,ILVUSDT,-0.0234,2.1316
1/4/2024 20:30,BADGERUSDT,-0.0287,2.1029
1/4/2024 22:00,XLMUSDT,-0.0234,2.0795
1/4/2024 22:00,XRPUSDT,-0.02,2.0595
1/4/2024 22:00,WAVESUSDT,-0.0215,2.038
1/4/2024 23:15,ILVUSDT,-0.0202,2.0178
1/5/2024 0:00,KNCUSDT,-0.0266,1.9912
1/5/2024 0:15,DARUSDT,-0.052,1.9392
1/5/2024 5:45,ARUSDT,-0.0214,1.9178
1/5/2024 5:45,IMXUSDT,0.0451,1.9629
1/5/2024 6:15,XVGUSDT,-0.0208,1.9421
1/5/2024 6:15,HOOKUSDT,-0.0208,1.9213
1/5/2024 6:15,STMXUSDT,0.0476,1.9689
1/5/2024 6:15,KLAYUSDT,-0.0209,1.948
1/5/2024 6:15,ILVUSDT,-0.0218,1.9262
1/5/2024 6:15,VETUSDT,-0.021,1.9052
1/5/2024 8:00,RDNTUSDT,-0.0234,1.8818
1/5/2024 8:30,STMXUSDT,0.05,1.9318
1/5/2024 10:00,SNXUSDT,0.05,1.9818
1/5/2024 10:15,AGLDUSDT,-0.0238,1.958
1/5/2024 10:30,ILVUSDT,0.0458,2.0038
1/5/2024 10:30,SUIUSDT,-0.0215,1.9823
1/5/2024 14:00,BNBUSDT,0.0491,2.0314
1/5/2024 14:15,GMXUSDT,0.0485,2.0799
1/5/2024 14:15,NEOUSDT,-0.0214,2.0585
1/5/2024 14:15,1000XECUSDT,-0.0214,2.0371
1/5/2024 14:15,ETHUSDT,-0.0202,2.0169
1/5/2024 14:15,TWTUSDT,0.0451,2.062
1/5/2024 14:15,ANKRUSDT,0.0432,2.1052
1/5/2024 15:15,BTCDOMUSDT,0.0486,2.1538
1/5/2024 16:45,BATUSDT,-0.0243,2.1295
1/5/2024 16:45,XLMUSDT,-0.0248,2.1047
1/5/2024 16:45,OPUSDT,-0.0378,2.0669
1/5/2024 16:45,MANAUSDT,-0.0217,2.0452
1/5/2024 16:45,LPTUSDT,-0.0252,2.02
1/5/2024 16:45,WAXPUSDT,-0.025,1.995
1/5/2024 16:45,CVXUSDT,-0.0226,1.9724
1/5/2024 16:45,STMXUSDT,-0.0281,1.9443
1/5/2024 16:45,MTLUSDT,-0.0226,1.9217
1/5/2024 16:45,IMXUSDT,-0.0227,1.899
1/5/2024 16:45,BICOUSDT,-0.0237,1.8753
1/5/2024 16:45,SXPUSDT,-0.0255,1.8498
1/5/2024 16:45,KAVAUSDT,-0.0228,1.827
1/5/2024 16:45,ETHUSDT,-0.0234,1.8036
1/5/2024 16:45,SANDUSDT,-0.0246,1.779
1/5/2024 16:45,STPTUSDT,-0.0228,1.7562
1/5/2024 16:45,ETCUSDT,-0.0262,1.73
1/5/2024 16:45,ZILUSDT,-0.0247,1.7053
1/6/2024 0:30,CTSIUSDT,-0.0309,1.6744
1/6/2024 0:45,ORBSUSDT,0.0348,1.7092
1/6/2024 2:30,SNXUSDT,-0.0222,1.687
1/6/2024 4:30,HBARUSDT,0.0472,1.7342
1/6/2024 4:45,BADGERUSDT,0.0419,1.7761
1/6/2024 8:30,XVSUSDT,-0.0357,1.7404
1/6/2024 14:45,BSVUSDT,0.0442,1.7846
1/6/2024 16:00,ONTUSDT,-0.0286,1.756
1/6/2024 17:30,XVGUSDT,-0.0212,1.7348
1/6/2024 17:30,XEMUSDT,-0.02,1.7148
1/6/2024 17:30,CTKUSDT,-0.0203,1.6945
1/6/2024 17:30,EOSUSDT,-0.02,1.6745
1/6/2024 18:45,FILUSDT,-0.0254,1.6491
1/6/2024 21:00,PERPUSDT,-0.0235,1.6256
1/6/2024 22:15,STRAXUSDT,0.0488,1.6744
1/6/2024 22:30,COMPUSDT,-0.0204,1.654
1/6/2024 22:30,ATAUSDT,-0.0245,1.6295
1/7/2024 2:00,GTCUSDT,-0.02,1.6095
1/7/2024 2:45,SXPUSDT,0.0292,1.6387
1/7/2024 2:45,GALAUSDT,-0.0204,1.6183
1/7/2024 4:30,LINAUSDT,-0.0239,1.5944
1/7/2024 6:00,GMXUSDT,-0.0208,1.5736
1/7/2024 6:00,LTCUSDT,-0.0322,1.5414
1/7/2024 7:00,SPELLUSDT,-0.0318,1.5096
1/7/2024 7:15,AMBUSDT,-0.0221,1.4875
1/7/2024 7:30,LEVERUSDT,-0.0225,1.465
1/7/2024 7:45,SLPUSDT,-0.0298,1.4352
1/7/2024 8:15,EDUUSDT,-0.0231,1.4121
